mpp,PSZ2,MCXC,ACT,PSZ2(z),precision_PSZ2(z),found_PSZ2(z),all_true,found,precision,all
0.1,0.95,0.5283018867924528,0.3227176220806794,0.9634146341463414,0.05077120822622108,79,0.29949874686716793,243,0.15616966580976863,1556
0.2,0.95,0.5283018867924528,0.3227176220806794,0.9634146341463414,0.05077120822622108,79,0.29949874686716793,243,0.15616966580976863,1556
0.3,0.95,0.5283018867924528,0.31422505307855625,0.9634146341463414,0.05787545787545788,79,0.2907268170426065,236,0.1728937728937729,1365
0.4,0.94,0.5,0.27176220806794055,0.9634146341463414,0.09186046511627907,79,0.2531328320802005,206,0.23953488372093024,860
0.5,0.93,0.49056603773584906,0.23779193205944799,0.9634146341463414,0.14738805970149255,79,0.22305764411027568,181,0.3376865671641791,536
0.6,0.89,0.46226415094339623,0.208067940552017,0.926829268292683,0.2159090909090909,76,0.19799498746867167,161,0.45738636363636365,352
0.7,0.87,0.42452830188679247,0.16985138004246284,0.9146341463414634,0.3048780487804878,75,0.16666666666666666,135,0.5487804878048781,246
0.8,0.84,0.39622641509433965,0.1337579617834395,0.8902439024390244,0.4294117647058823,73,0.14035087719298245,116,0.6823529411764706,170
0.9,0.75,0.3490566037735849,0.09766454352441614,0.7926829268292683,0.6018518518518519,65,0.10401002506265664,87,0.8055555555555556,108
0.95,0.65,0.3018867924528302,0.08492569002123142,0.7073170731707317,0.7532467532467533,58,0.08646616541353383,71,0.922077922077922,77
1.0,0.45,0.2169811320754717,0.06157112526539278,0.5121951219512195,0.9130434782608695,42,0.05513784461152882,45,0.9782608695652174,46
